current CR,after user collateral,after SPCollateral collateral,after user leveraged,after SPLeveraged leveraged,,after minter collateral,after user SPCollateral balance,after user SPLeveraged balance
0.426000000000000000,8.040478380864763837,8.040478380864765400,160809.567617295307959302,160809.567617295308313860,0.000000000000000000,11.959521619135234600,1959.521619135234600000,1959.521619135234580000
0.428000000000000000,8.029465930018414426,8.029465930018416200,160589.318600368323431721,160589.318600368324209240,0.000000000000000000,11.970534069981583800,1970.534069981583800000,1970.534069981583780000
0.430000000000000000,8.018433179723500846,8.018433179723502300,160368.663594470045889256,160368.663594470046138480,0.000000000000000000,11.981566820276497700,1981.566820276497700000,1981.566820276497690000
0.432000000000000000,8.007380073800737003,8.007380073800738000,160147.601476014759626765,160147.601476014760246160,0.000000000000000000,11.992619926199262000,1992.619926199262000000,1992.619926199261980000
0.434000000000000000,7.996306555863340895,7.996306555863342560,159926.131117266850756571,159926.131117266851431400,0.000000000000000000,12.003693444136657440,2003.693444136657440000,2003.693444136657420000
0.436000000000000000,7.985212569316079396,7.985212569316081320,159704.251386321626608772,159704.251386321626761860,0.000000000000000000,12.014787430683918680,2014.787430683918680000,2014.787430683918660000
0.438000000000000000,7.974098057354300419,7.974098057354301560,159481.961147086030908264,159481.961147086031619700,0.000000000000000000,12.025901942645698440,2025.901942645698440000,2025.901942645698410000
0.440000000000000000,7.962962962962962789,7.962962962962962960,159259.259259259258900202,159259.259259259259298480,0.000000000000000000,12.037037037037037040,2037.037037037037040000,2037.037037037037030000
0.442000000000000000,7.951807228915661486,7.951807228915662640,159036.144578313252965003,159036.144578313253152000,0.000000000000000000,12.048192771084337360,2048.192771084337360000,2048.192771084337340000
0.444000000000000000,7.940630797773653217,7.940630797773654900,158812.615955473098344245,158812.615955473098547720,0.000000000000000000,12.059369202226345100,2059.369202226345100000,2059.369202226345070000
0.446000000000000000,7.929433611884863712,7.929433611884865360,158588.672237697306749302,158588.672237697307424020,0.000000000000000000,12.070566388115134640,2070.566388115134640000,2070.566388115134620000
0.448000000000000000,7.918215613382898470,7.918215613382899620,158364.312267657992190685,158364.312267657992673240,0.000000000000000000,12.081784386617100380,2081.784386617100380000,2081.784386617100360000
0.450000000000000000,7.906976744186044927,7.906976744186046500,158139.534883720930325116,158139.534883720930384620,0.000000000000000000,12.093023255813953500,2093.023255813953500000,2093.023255813953480000
